        Vehicle ID:	p1B3CC4FB0AN22533
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2008/4/15
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FA6P0H75E540265
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2007/7/10
    Current Status:	m
      Max. Payload:	2.88 tons

        Vehicle ID:	c1FAFP53U57A20716
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2012/12/11
    Current Status:	s
      Max. Payload:	2.04 tons

        Vehicle ID:	i1FDFE4FS9HDC5569
        Make/Model:	Ford  Mustang
   Last Inspection:	2012/5/22
    Current Status:	s

        Vehicle ID:	c1FM5K8D8XFGC5879
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2017/3/21
    Current Status:	m
      Max. Payload:	2.88 tons

        Vehicle ID:	p1FMEU63E57UA4221
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/7/13
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1FMFU18L83LB2792
        Make/Model:	Chevrolet Impala
   Last Inspection:	2014/9/10
    Current Status:	s

        Vehicle ID:	c1FMYU93173KD3842
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/1/20
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FT8W3BT4HEB3924
        Make/Model:	Chevrolet Impala
   Last Inspection:	2017/1/21
    Current Status:	s

        Vehicle ID:	c1FTEW1EF7GFC2757
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2010/12/5
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FTEX1EP8HFA0806
        Make/Model:	Dodge Charger
   Last Inspection:	2017/2/26
    Current Status:	s

        Vehicle ID:	c1FVHC5DV0BDAW533
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/6/28
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1G1ZB5E05CF34699
        Make/Model:	Ford  F 250
   Last Inspection:	2014/4/15
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1G4GB5G35EF16141
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2011/1/24
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	p1GNEK13R8XJ30676
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2006/9/5
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1GNEK13Z22J24590
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2006/11/2
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1HGCG16511A04582
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2006/6/16
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1HGCG66542A04894
        Make/Model:	Ford  Mustang
   Last Inspection:	2017/4/13
    Current Status:	s

        Vehicle ID:	c1HGCM665X6A00382
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2015/4/20
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1HGCP26848A00924
        Make/Model:	Ford  Focus
   Last Inspection:	2014/3/13
    Current Status:	s

        Vehicle ID:	c1N4AL11E92C71367
        Make/Model:	Ford  F 250
   Last Inspection:	2007/2/3
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1N4AL2APXCN41663
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2012/6/21
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1YVHP84C545N9431
        Make/Model:	Ford  F 250
   Last Inspection:	2014/4/11
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i2B3CJ4DV0AH13363
        Make/Model:	Ford  Mustang
   Last Inspection:	2017/5/19
    Current Status:	m

        Vehicle ID:	c2D4GP44L36R69582
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/2/6
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p2FUYDXYB3SA78126
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/9/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c2G1WF55E93913972
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/2/11
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i2GTEC19V6Y133494
        Make/Model:	Dodge Charger
   Last Inspection:	2016/4/17
    Current Status:	s

        Vehicle ID:	c2HGES16563H61350
        Make/Model:	Ford  F 150
   Last Inspection:	2017/11/8
    Current Status:	s
      Max. Payload:	3.04 tons

        Vehicle ID:	c2HNYD18906H51039
        Make/Model:	Chevrolet Silverado 2500
   Last Inspection:	2016/8/6
    Current Status:	s
      Max. Payload:	1.62 tons

        Vehicle ID:	i2T2BK1BA6DC21575
        Make/Model:	Ford  Mustang
   Last Inspection:	2015/1/15
    Current Status:	s

        Vehicle ID:	i3D7KU28C43G82111
        Make/Model:	Ford  Mustang
   Last Inspection:	2017/6/23
    Current Status:	s

        Vehicle ID:	p3G2JB5244WS86805
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2006/1/15
    Current Status:	a
   Max. Passengers:	15

